ssc_p,hsc_p,degree_p,mba_p,workex,etest_p,status
67.0,91.0,58.0,58.8,0,55.0,1
79.33,78.33,77.48,66.28,1,86.5,1
65.0,68.0,64.0,57.8,0,75.0,1
56.0,52.0,52.0,59.43,0,66.0,0
85.8,73.6,73.3,55.5,0,96.8,1
55.0,49.8,67.25,51.58,1,55.0,0
46.0,49.2,79.0,53.29,0,74.28,0
82.0,64.0,66.0,62.14,1,67.0,1
73.0,79.0,72.0,61.29,0,91.34,1
58.0,70.0,61.0,52.21,0,54.0,0
58.0,61.0,60.0,60.85,1,62.0,1
69.6,68.4,78.3,63.7,1,60.0,1
47.0,55.0,65.0,65.04,0,62.0,0
77.0,87.0,59.0,68.63,0,68.0,1
62.0,47.0,50.0,54.96,0,76.0,0
65.0,75.0,69.0,64.66,1,72.0,1
63.0,66.2,65.6,62.54,1,60.0,1
55.0,67.0,64.0,67.28,0,60.0,0
63.0,66.0,64.0,64.08,0,68.0,0
60.0,67.0,70.0,77.89,1,50.48,1
62.0,65.0,66.0,56.7,0,50.0,1
79.0,76.0,85.0,69.06,0,95.0,1
69.8,60.8,72.23,68.81,0,55.53,1
77.4,60.0,64.74,63.62,1,92.0,1
76.5,97.7,78.86,74.01,0,97.4,1
52.58,54.6,50.2,65.33,1,76.0,0
71.0,79.0,66.0,57.55,1,94.0,1
63.0,67.0,66.0,57.69,0,68.0,1
76.76,76.5,67.5,64.15,1,73.35,1
62.0,67.0,58.0,51.29,0,77.0,0
64.0,73.5,73.0,56.7,0,52.0,1
67.0,53.0,65.0,58.32,0,64.0,0
61.0,81.0,66.4,62.21,0,50.89,1
87.0,65.0,81.0,72.78,1,88.0,1
62.0,51.0,52.0,62.77,0,68.44,0
69.0,78.0,72.0,62.74,0,71.0,1
51.0,44.0,57.0,51.45,0,64.0,0
79.0,76.0,65.6,55.47,0,58.0,1
73.0,58.0,66.0,56.86,0,53.7,1
81.0,68.0,64.0,62.56,0,93.0,1
78.0,77.0,80.0,66.72,0,60.0,1
74.0,63.16,65.0,69.76,1,65.0,0
49.0,39.0,65.0,51.21,0,63.0,0
87.0,87.0,68.0,62.9,0,95.0,1
77.0,73.0,81.0,69.7,1,89.0,1
76.0,64.0,72.0,66.53,0,58.0,0
70.89,71.98,65.6,71.63,0,68.0,0
63.0,60.0,57.0,54.55,1,78.0,1
63.0,62.0,68.0,62.46,0,64.0,1
50.0,37.0,52.0,56.11,0,65.0,0
75.2,73.2,68.4,62.98,0,65.0,1
54.4,61.12,56.2,62.65,0,67.0,0
40.89,45.83,53.0,65.49,0,71.2,0
80.0,70.0,72.0,71.04,0,87.0,1
74.0,60.0,69.0,65.56,0,78.0,1
60.4,66.6,65.0,52.71,0,71.0,1
63.0,71.4,61.4,66.88,0,68.0,1
68.0,76.0,74.0,63.59,0,80.0,1
74.0,62.0,68.0,57.99,0,74.0,1
52.6,65.58,72.11,56.66,0,57.6,1
74.0,70.0,72.0,57.24,1,60.0,1
84.2,73.4,66.89,62.48,0,61.6,1
86.5,64.2,67.4,59.69,0,59.0,1
61.0,70.0,64.0,59.5,0,68.5,0
80.0,73.0,75.0,58.78,0,61.0,1
54.0,47.0,57.0,57.1,0,89.69,0
83.0,74.0,66.0,58.46,0,68.92,1
80.92,78.5,67.0,60.99,0,68.71,1
69.7,47.0,72.7,59.24,0,79.0,0
73.0,73.0,66.0,68.07,1,70.0,1
82.0,61.0,62.0,65.45,0,89.0,1
75.0,70.29,71.0,66.94,0,95.0,1
84.86,67.0,78.0,68.53,0,95.5,1
64.6,83.83,71.72,59.75,0,86.0,1
56.6,64.8,70.2,67.2,0,84.27,1
59.0,62.0,77.5,67.0,0,74.0,0
66.5,70.4,71.93,64.27,0,61.0,1
64.0,80.0,65.0,57.65,1,69.0,1
84.0,90.9,64.5,59.42,0,86.04,1
69.0,62.0,66.0,67.99,0,75.0,0
69.0,62.0,69.0,62.35,1,67.0,1
81.7,63.0,67.0,70.2,1,86.0,1
63.0,67.0,74.0,60.44,0,82.0,0
84.0,79.0,68.0,66.69,1,84.0,1
70.0,63.0,70.0,62.0,1,55.0,1
83.84,89.83,77.2,76.18,1,78.74,1
62.0,63.0,64.0,57.03,0,67.0,1
59.6,51.0,60.0,59.08,0,75.0,0
66.0,62.0,73.0,64.36,0,58.0,1
84.0,75.0,69.0,62.36,1,62.0,1
85.0,90.0,82.0,68.03,0,92.0,1
52.0,57.0,50.8,62.79,0,67.0,0
60.23,69.0,66.0,59.47,0,72.0,1
52.0,62.0,54.0,55.41,0,72.0,0
58.0,62.0,64.0,54.97,0,53.88,1
73.0,78.0,65.0,62.16,1,95.46,1
76.0,70.0,76.0,64.44,1,66.0,1
70.5,62.5,61.0,69.03,0,93.91,0
69.0,73.0,65.0,57.31,0,70.0,1
54.0,82.0,63.0,59.47,0,50.0,0
45.0,57.0,58.0,64.95,1,56.39,0
63.0,72.0,68.0,60.44,0,78.0,1
77.0,61.0,68.0,61.31,1,57.5,1
73.0,78.0,73.0,65.83,1,85.0,1
69.0,63.0,65.0,58.23,1,55.0,1
59.0,64.0,58.0,55.3,0,85.0,0
61.08,50.0,54.0,65.69,0,71.0,0
82.0,90.0,83.0,73.52,0,80.0,1
61.0,82.0,69.0,58.31,0,84.0,1
52.0,63.0,65.0,56.09,1,86.0,0
69.5,70.0,72.0,54.8,0,57.2,1
51.0,54.0,61.0,60.64,0,60.0,0
58.0,61.0,61.0,53.94,0,58.0,1
73.96,79.0,67.0,63.08,0,72.15,1
65.0,68.0,69.0,55.01,0,53.7,1
73.0,63.0,66.0,60.5,0,89.0,1
68.2,72.8,66.6,70.85,1,96.0,1
77.0,75.0,73.0,67.05,0,80.0,1
76.0,80.0,78.0,70.48,1,97.0,1
60.8,68.4,64.6,64.34,1,82.66,1
58.0,40.0,59.0,58.81,0,73.0,0
64.0,67.0,69.6,71.49,1,55.67,1
66.5,66.8,69.3,71.0,1,80.4,1
74.0,59.0,73.0,56.7,1,60.0,1
